sub	session	condition	category	word	rt	log_rt	ft_distance	ppmi_distance	w_one_frequency	w_one_log10_frequency	w_one_length	w_two_frequency	w_two_log10_frequency	w_two_length	
001	1	1.0	Ader	Vene	1796.5974062813	7.494206277991407	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
002	3	1.5	Ader	Körper	1697.41558890533	7.437451088929901	0.7281412482261658	0.8885077519295986	120220	5.079976723632598	6	1540	3.187520720836463	4	
004	3	0.5	Ader	Vene	1549.99999999999	7.346655163176532	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
005	2	1.0	Ader	Gefaess	3189.86579322938	8.068047567490112	0.7337868064641953	0.9046151406591388	3813	3.5812668052736707	7	1540	3.187520720836463	4	
006	1	1.0	Ader	Vene	1839.10389944243	7.5175773160971024	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
007	2	0.5	Ader	Vene	1305.41126308604	7.175039163087278	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
008	3	1.5	Ader	Vene	2127.20346420118	7.663033458767409	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
009	1	1.5	Ader	Muskel	1923.33333333333	7.562334866392822	0.6601746678352356	0.8668644174579951	2294	3.360593413565249	6	1540	3.187520720836463	4	
010	2	1.0	Ader	Vene	1994.96104103323	7.5988809381604945	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
011	3	0.5	Ader	Arterie	3710.0	8.219056661060597	0.721679300069809	0.8316090003906473	959	2.9818186071706636	7	1540	3.187520720836463	4	
012	1	1.5	Ader	Vene	1409.31602414658	7.251569088859115	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
013	2	0.5	Ader	Blut	1692.69264522076	7.434666421454371	0.7418458163738251	0.859378581098403	80232	4.9043476183041745	4	1540	3.187520720836463	4	
014	3	1.5	Ader	Vene	1612.40260258308	7.386100645606246	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
015	1	1.5	Ader	Vene	1957.17749155667	7.579769468398118	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
016	1	1.0	Ader	Vene	1725.75325101275	7.453998190702361	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
017	3	0.5	Ader	Arterie	2320.84415526854	7.7501170434113344	0.721679300069809	0.8316090003906473	959	2.9818186071706636	7	1540	3.187520720836463	4	
018	2	1.0	Ader	Vene	1102.32468464954	7.006083340986058	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
020	3	1.5	Ader	Vene	2632.55843845015	7.876091229089297	0.6639767587184906	0.862515415722229	1094	3.039017321997412	4	1540	3.187520720836463	4	
