corpus	sentence
itwac	Se avessero combattuto come antichi gladiatori al Colosseo anziché affrontarsi in tv davanti a 55 milioni di cittadini , elettori pronti al pollice verso , Bush sarebbe stato un Secutor , armatura pesante e corta [SEP] spada [SEP] sguainata , Kerry un Reziario , arma letale la rete avvolgente .
itwac	Gatsu tenta di afferrare la [SEP] spada [SEP] per provare a difendersi , ma essendo un bambino non riesce nell' intento e Donovan non gli nasconde le sue intenzioni : " Ti ho comprato per una notte da Gambino " , è la frase che Gatsu si sente dire prima di subire violenza .
itwac	E dato di piglio alla [SEP] spada [SEP] , una lama elegante e ben bilanciata , attendeva a pie ' pari che il pretendente avanzasse , armato fino ai denti , a chiedere la sua mano .
itwac	Prima di partire , Pyrio si armò , raccogliendo da terra la [SEP] spada [SEP] lasciata cadere dal Vendicatore sconfitto .
itwac	Uomo armato di [SEP] spada [SEP] : onde « Buona 1 scherma .
itwac	In piazza del Teatro " Insieme per la pace " Riflessioni fra : poesia , musica , solidarietà e impegno sociale di Carmelo [SEP] Spada [SEP] Sabato 15 marzo Piazza del Teatro e le finestre dei palazzi che vi si affacciano sono decorate con le bandiere arcobaleno e la scritta " pace " Alghero 16.03.2003 In un pomeriggio inaspettatamente battuto da un vento gelido nella piazza del Teatro di Alghero va in scena la manifestazione organizzata dal comitato cittadino " Insieme per la pace " .
itwac	Anche stavolta le nostre due eterne amiche / nemiche cercheranno di guadagnarsi da vivere con la [SEP] spada [SEP] e la stregoneria in una serie di storie brevi da sbellicarsi dalle risate !
itwac	A queste parole Belcredi insorge ed Enrico lo ferisce a morte con una [SEP] spada [SEP] .
itwac	Davanti a quello spettacolo atroce , gli ultimi due uomini del Conte vacillarono e , lasciando cadere le [SEP] spade [SEP] , corsero verso l' uscita .
itwac	Quest' ultimo , sporco e con una lunga barba che gli arrivava al petto , teneva arrogantemente una [SEP] spada [SEP] poggiata sulla spalla e stava dando ordini all' uomo del carro .
itwac	Sono stato il possessore della [SEP] spada [SEP] per otto secondi .
itwac	Pesce [SEP] spada [SEP] alla ligure : Al Veliero ( Biagio Peres ) di Genova .
itwac	, pag. 45 ; in " J. G. Ballard " , ed. Intercom press : " Frammenti molto provvisori " , di Jean-Francois Jamoul , pag. 26 ; " La parola nuda : aspetti del sincronismo apocalittico nella tetralogia degli elementi di J. G. Ballard " , di Domenico Cammorota , pag. 37 ; " Il paesaggio , la follia e la catastrofe " , di Alberto Poggi , pag. 44 ; " Ritratto d' autore : James Ballard " , di Giuseppe Caimmi e Piergiorgio Nicolazzini , " Robot " n. 18 , ed. Armenia , '77 , pag. 10 ; " L' altra via della catastrofe : la Gran Bretagna " , di Giuseppe Caimmi , " S & F " n. 1 , '83 , pag. 18 ; " Ballard : l' opera " , mia , " La [SEP] spada [SEP] spezzata " n. 15 , pag. 14 ; " Un labirinto per ogni mostro " ( II ° parte ) , di Nicoletta Vallorani , " Ucronia " n. 2 , '86 , pag. 60 ; " Shangai a picadilly " , di Riccardo Valla , " Urania " n. 1040 , ed. Mondadori , '87 , pag. 138 ; recensione alla quadrilogia degli elementi , di Gian Filippo Pizzo , " Future shock " n. 3 , vecchia serie , '87 pag. 6 ; in " J. G. Ballard " , ed. ShaKe , '94 : " Immagini del futuro " , di James G. Ballard , pag. 51 ; " Lesioni-Tv rivelazioni immaginazioni " , pag. 155 ; " Il quadruplice simbolismo di Ballard " , di D. Pringle , pag. 221 ; estratto da una recensione di B. Aldiss , pag. 249 , da " Oxford Mail " , aprile '66 Dall' ottimo scrittore che è , Vonnegut si permette anche di fare una lunga digressione sul ruolo dello scrittore nella società contemparanea , che a me è parso molto più incisivo e pregnante di tanti lunghi e noiosi saggi dei nostri accademici .
itwac	[ 39 ] La prese con il suo re e tutti i suoi villaggi ; li passarono a fil di [SEP] spada [SEP] e votarono allo sterminio ogni essere vivente che era in essa ; non lasciò alcun superstite .
itwac	Katana-jogi - Lucidatore della lama Ken - Termine generico per spada e talvolta tipo di [SEP] spada [SEP] dritta cinese usata in cerimonie religiose ( meglio ken-tsurugi ) Kozuka - Impugnatura ornata del kogatana Nambam - Stile di esecuzione di armature ( yoroi ) , tsuba e altri oggetti d' arte .
itwac	( Dalla Presentazione di Andrea [SEP] Spada [SEP] )
itwac	Egli è lo scudo della tua difesa e la [SEP] spada [SEP] del tuo trionfo .
itwac	Nasceva così la legione coortale , basata sulla cohors ( unità base in grado di agire indipendentemente dal resto delle legione ) , forte di 600 ( secondo alcuni 480 ) uomini armati di gladium ( [SEP] spada [SEP] spagnola lunga due piedi e a doppio taglio ) e di pilum e formata dall' unione di tre manipoli .
itwac	Con un' abile mossa , lei gli fece cadere la [SEP] spada [SEP] , e prima che riuscisse a riprenderla lei ci mise un piede sopra , e gli puntò la spada alla gola .
itwac	Gioachino conosce Francesco [SEP] Spada [SEP] con il quale stringe un' amicizia che durerà fino alla morte del poeta .
itwac	La peggior punizione per chi invocava che " la religione diventi una [SEP] spada [SEP] sul collo dei cristiani , perché le loro bombe scoppino su di loro e sui loro figli " , sarebbe stata l' estradizione e quindi la consegna nelle mani di chi lo avrebbe , come sostiene il diretto interessato , " percosso , torturato e infine ucciso tramite la polizia segreta " .
itwac	Quando Montano minaccia Cassio di fare rapporto al governatore in merito al suo comportamento poco ortodosso Cassio sguaina la [SEP] spada [SEP] e lo ferisce .
itwac	Il Moto Club Racing di Terni ha presentato nella sala consiliare di palazzo [SEP] Spada [SEP] gli Assoluti d' Italia di Enduro , l' importante appuntamento agonistico che si svolgerà a Piediluco l' ultimo week end di Agosto .
itwac	Shilat annuì , tradendo una luce di curiosità negli occhi scuri " Non hai l' armatura e la [SEP] spada [SEP] con te ...
itwac	La mano che impugna la spada , la [SEP] spada [SEP] stessa , è il Vuoto .
itwac	A partire dal 1959 il Proof Master R.P. Lees reintrodsse il marchio : le due [SEP] spade [SEP] incrociate con una lettera a destra e una sinistra e un numero in basso La lettera a sinistra indica l' anno (  A " per 1950 ,  B " per 1951 ecc. ) ; la lett. B indica Birmingham .
itwac	" Trasformeranno le loro spade in vomeri , le loro lance in falci ; una nazione non impugnerà più la [SEP] spada [SEP] contro un' altra nazione ; la gente non si addestrerà più alla guerra " ( Is 2,4 ) .
itwac	E , assieme al titolo , la citazione evangelica , tratta dal Vangelo di Luca che diceva " e adesso , chi non ha una spada venda il mantello e se ne compri una " Una citazione impegnativa che vi ripeto solo per riportare il suo sapore al mio cuore , con l' avviso per i credenti e ancor più per gli amici che credenti non sono che la [SEP] spada [SEP] e la prova alla quale il testo fa riferimento ben altra .
itwac	Tristan la [SEP] spada [SEP] in mano s' ha recata e , lamentando , assai la commendava : - Ispada mia , quanto se' dotta istata !
itwac	O Tirreno , Mare Infero , s' accende sul tuo specchio l' insonne occhio del Faro ; ti veglia e guarda con le sue tremende navi d' acciaro la Città Forte dietro il Caprione sacro agli Itali come ai Greci il Sunio ; t' è scheggia della [SEP] spada [SEP] d' Orione il novilunio ; come sia fatta l' ombra , alla tua pace verseranno lor lacrime le Atlàntidi , ti condurrà l' ignavo Artofilace l' Orse erimàntidi ; s' udrà pè curvi lidi il tuo respiro solo nell' ombra senza mutamento ; solo rispecchierai l' immenso giro del firmamento .
itwac	La favola medioevaleggiante diviene un racconto fatto di anomalie , di " cose " che funzionano non come dovrebbero funzionare , ma in tutto e per tutto simili alle idee alla base di queste " cose " : l' ombrello / [SEP] spada [SEP] e lo straccio / cane e il cuscino / drago ...
itwac	Con la [SEP] spada [SEP] di Damocle delle denunce il problema non si risolve , ma si aggira : perché non sempre è possibile formulare un orario scolastico perfetto nell' alternanza di materie più o meno « ingombranti » , a causa delle cattedre spezzettate in più scuole per molti docenti .
itwac	L' incipit del mutato indirizzo di Palazzo [SEP] Spada [SEP] si suole scorgere nella sentenza n. 2331/03 ( 5 ) , riportata nei suoi punti più significativi in quella in commento , anche se un , seppur timido , spiraglio di apertura doveva già individuarsi in una decisione della Adunanza Plenaria ( 6 ) , che sembrava , infatti , esprimere un giudizio positivo nei confronti di una commissione d' esame che " assecondando un criterio di più ampia apertura verso una non obbligatoria , ma di certo maggiore attenzione ad una migliore percepibilità del contenuto del giudizio sugli elaborati " aveva sostituito la valutazione precedente annullata dal giudice di prime cure .
itwac	In una teglia oliata mettete i rotoli di pesce [SEP] spada [SEP] aggiungete il vino e mettete in forno a 180 ° C per 15 , 20 minuti circa dipende dalla grossezza della fettina del pesce spada .
itwac	La mano destra levata , perciò , non gli serviva per appoggiarsi , ma per brandire la lancia ( o la [SEP] spada [SEP] ) contro il nemico .
itwac	Il taglialegna intravide l' elsa di una [SEP] spada [SEP] e di una lunga daga infilate alla cintura , mentre di traverso sul torace c' era una striscia di cuoio a cui erano appesi tre pugnali da lancio .
itwac	Siamo alle sogliole del duemila ( Gli strafalcioni degli italiani ) thanks to Alice DETTI E ' RI ' DETTI Anche l' occhio va dalla sua parte / Anche l' ottico vuole la sua parte Spezziamo un' arancia in favore della libert ` Scambiamoci i connotati Ha bruciato tutte le mappe del successo Non mettere il dito nella piastra Non dare alito ai pettegolezzi Eh , qui gatta ci-cogna Ho avuto un lampo di luce Mettiamo i bastoncini sulle ' i ' Non bisogna piangere sul latte macchiato Non fare occhi da mercante Tagliamo la testa al topo Non h tutto oro quello che illumina Dulcis in findus De gustibus non est sputante Affrontare le cose a spadatrak Non posso vivere con la [SEP] spada [SEP] di Adamo sulla testa Non sapevo dove andare , brulicavo nel buio Uniamo l' utero al dilettevole Ti licenzio sul tronco Finchh la vacca va ...
itwac	Ecco il lontano canto delle trombe , ecco il tuon delle torme de ' cavalli , scroscio di lancie , sibili di freccie , ferro su ferro , spade contro [SEP] spade [SEP] , il martellar d' una fucina immensa , e il rugginoso anelito , e il singhiozzo del sangue , e il chiaro alto latino squillo , Libertà !
itwac	Proponigli quello che hai scritto qui io ti sosterro' a [SEP] spada [SEP] tratta .
itwac	D' improvviso , mentre il drappello di armati sembra convergere verso il borgo per rientrare al Castello , ecco apparire , dai boschi limitrofi , un altro manipolo di cavalieri dalle scure armature che assale di fianco il primo gruppo dei Caetani : si accende una zuffa , uno scontro violento a colpi di [SEP] spada [SEP] , di lancia e mazze ferrate .
