corpus	sentence
itwac	L' [SEP] elefante [SEP] , evidentemente infastidito , lo guarda dall' alto in basso , poi lo afferra con la proboscide e lo scaglia lontano .
itwac	» Gli [SEP] elefanti [SEP] non pareva si fossero ancora accorti della presenza degli uomini .
itwac	Bhuj , Kutti , Coltello [SEP] Elefante [SEP] Coltello indiano lungo circa 40 cm con manico molto più lungo della lama ; veniva detto " coltello elefante " per la testa di elefante che figura all' inizio della lama .
itwac	chissà se , a causa degli stravolgimenti climatici degli ultimi tempi , non ritornino prima o poi , a Riano , anche gli [SEP] elefanti [SEP] ...
itwac	CACCIA ALL' [SEP] ELEFANTE [SEP] : Occorrente : Una lavagna , un gessetto , una sedia , un cannocchiale , una pinzetta , un barattolo di vetro con coperchio .
itwac	Ma non solo , gli [SEP] elefanti [SEP] , dopo aver terminato l' operazione , azionano lo sciacquone con un preciso movimento della proboscide .
itwac	Dallo scorso mese di gennaio , l' architetto cosentino dopo avere scorto le particolarità delle due presenze ha iniziato a studiare con attenzione e meticolosità le sculture , soprattutto l' [SEP] elefante [SEP] ( potrebbe trattarsi della riproduzione di un Elephas Antiquus , diretto progenitore degli attuali esemplari la cui scomparsa è databile intorno all' era del Pleistocene ) che sono risultate formate da diversi strati di roccia sovrapposta .
itwac	Il parco prende il nome dall' omonimo fiume che lo attraversa ed è particolarmente famoso per la sua grande concentrazione di elefanti e per la presenza di enormi alberi di baobab , che sembrano rivestire un ruolo particolarmente importante nella dieta dei pachidermi ; infatti nei periodi di grande siccità gli [SEP] elefanti [SEP] utilizzano le loro grandi zanne per scavarne la corteccia e strapparne lunghe strisce di cui sembrano essere molto golosi .
itwac	Secondo POLIBIO diecimila furono i morti nel campo di Asdrubale ; secondo APPIANO , il Cartaginese condusse alla battaglia quattromila ed ottocento fanti , ottomila cavalli e quattordici [SEP] elefanti [SEP] ; secondo TITO LIVIO , che forse esagera un po' , perirono dei nemici cinquantaseimila uomini e ne furono catturati cinquemila e quattrocento .
itwac	Avrete visto qualche volta addormentare rinoceronti o [SEP] elefanti [SEP] ; il cervo era un maschio , agitato dalla contingenza ed eccitato dalla stagione degli amori , ma era pur sempre un cervo ...
itwac	Il terreno di fondazione , in parte ricavato dallo sbancamento di una porzione del colle capitolino , si rivela inconsistente , composto per lo più da terra di riporto , rendendo così necessarie imponenti opere di fondazione tra frequenti ritrovamenti archeologici ( viene rinvenuto addirittura il fossile di un [SEP] elefante [SEP] ) .
itwac	I.P. = = = = = ZOO = = = = = Campeggi per vivere i brividi della giungla : 24 ore a tu per tu con tutte le specie Usa , lo zoo sotto le stelle Buonanotte tra i leoni Con 4 mila dollari si può affittare per compleanni o matrimoni DAL NOSTRO CORRISPONDENTE www.corriere.it/edicola/index.jsp?path=INTERNI&doc=ZOO NEW YORK - Essere svegliati dal ruggito di un leone o dal barrito di un [SEP] elefante [SEP] .
itwac	Risuonano la Chanson de Roland e il passo degli [SEP] elefanti [SEP] di Annibale .
itwac	A sinistra : la famosa domus " Roccia dell' [SEP] elefante [SEP] " , scavata all' interno di un imponente blocco di trachite eroso dalla natura , che gli ha conferito questa singolare forma .
itwac	piuttosto mi accoppio con un [SEP] elefante [SEP] ...
itwac	Gli [SEP] elefanti [SEP] insieme fanno una globalizzazione capitalistica .
itwac	Ora , finalmente , tutti noi che siamo stati traumatizzati da Moira e dai suoi [SEP] elefanti [SEP] abbiamo la possibilità di vendicarci : grazie a questo link , infatti , potrete scrivere a Moira tutto quello che avete sempre pensato di lei e del suo circo , ma che un paralizzante processo psicologico di rimozione vi ha sempre impedito di esternare .
itwac	Differenza fra le fragole e un [SEP] elefante [SEP] : hanno malattie diverse .
itwac	( Foto Govino e Rampoldi ) E ancora , una poltrona incorniciata da una mandibola di [SEP] elefante [SEP] , una sirena giapponese dal volto mostruoso , un cranio di tricheco con le zanne ancora attaccate , reperti di natura trasformati dalla straordinaria abilità dell' uomo in preziosissimi oggetti del desiderio , raccolti tra XV e XVIII secolo : pietre , coralli , conchiglie , fossili , cristalli , corna , zampe provenienti da animali che , prima dei safari fotografici , erano indiscussi esempi di esotismo : tartarughe , cammelli , struzzi , coccodrilli , gorilla ...
itwac	La terra era fertile e rigogliosa , e vi vivevano molti tipi di animali selvatici , tra cui addirittura degli [SEP] elefanti [SEP] .
itwac	L' [SEP] elefante [SEP] è anche il simbolo della città di Catania .
itwac	I  gennaio-aprile 2004 P.F. Moretti , [SEP] Elefanti [SEP] , serpenti e bachi da seta .
itwac	Cinque specie sono state inserite dalla Convenzione di Barcellona tra quelli da proteggere : lo squalo bianco e lo squalo [SEP] elefante [SEP] , la verdesca , il mako e lo smeriglio .
itwac	Due elefanti si dondolavano sopra un filo di ragnatela e ritenendo la cosa interessante andarono a chiamare un altro [SEP] elefante [SEP] .
itwac	Un itinerario alla scoperta delle epigrafi del centro storico dedicate a personaggi ed eventi urbani PIAZZA DELLA MINERVA Appuntamento a piazza della Minerva presso l' obelisco con l' [SEP] elefante [SEP] Martedì 22 febbraio , ore 10,00 Edifici monumentali LA CASINA DEL CARDINAL BESSARIONE Appuntamento a via di Porta San Sebastiano n. 8 Solo su prenotazione max 25 persone tel. 06 - 82077304 Giovedì 24 febbraio , ore 10,00 Edifici monumentali CASA DEI CAVALIERI DI RODI Appuntamento a piazza del Grillo n. 1 Solo su prenotazione max 25 persone tel. 06 - 82077304 Venerdì 25 febbraio , ore 16,00 Dove passa l' acqua a Roma LA FONTANA DELL' ACQUA PAOLA Appuntamento a via Garibaldi , presso il Fontanone Sabato 26 febbraio , ore 15,30 IL MUSEO DEL TEATRO ARGENTINA Appuntamento a largo di Torre Argentina n. 52 Solo su prenotazione max 15 persone tel. 06 - 82077304 Lunedì 28 febbraio , ore 15,00 La città scritta .
itwac	Per quello che riguarda il ragazzo del Bangladesh ( ripeto che io discuto la competenza non il colore della pelle ) e come se io andassi a fare il domatore di [SEP] elefanti [SEP] ...
itwac	E l' India , è davvero solo un uomo col turbante in cima a un [SEP] elefante [SEP] ?
itwac	A causa della riduzione della superficie boschiva , dovuta all' aumento esponenziale della popolazione e all' espandersi degli insediamenti abitativi - hanno spiegato gli esperti - gli [SEP] elefanti [SEP] , che vivono in greggi di sei-dodici esemplari , compiono vere e proprie razzie nei villaggi circostanti alla ricerca di cibo .
itwac	Ogni fine settimana al Bioparco i visitatori possono cimentarsi nel difficile compito di dare da mangiare agli animali ( 11.30 giraffe ; 12.00 [SEP] elefanti [SEP] ; 12.30 orsi ; 14.30 animali domestici e scimpanzé ; 15:00 ippopotami e anfibi ) o prendere parte alle visite guidate della durata di 30 minuti ( partenza alle 13.15 e alle 13.45 ) e , solo per i bimbi , tutte le domeniche dalle 11.00 alle 16.00 presso l' Oasi del Lago , giochi e attività con animazione pensati appositamente per loro .
itwac	Garzanti Libri prosegue così la sua collaborazione con alcuni tra i più interessanti artisti contemporanei : Franco Matticchio ( che disegna le copertine per i libri di Giorgio Scerbanenco e Carlo Emilio Gadda negli Elefanti ) , Lorenzo Mattotti ( Pier Paolo Pasolini negli [SEP] Elefanti [SEP] ) e Elfo ( Jorge Amado e Maria Montessori ) .
itwac	Poi , sabato 3 aprile i Celestini , insieme alla Cgil bolognese e alla Bottega dell' [SEP] Elefante [SEP] ( un circolo culturale ) , hanno presentato , anzi raccontato , le loro proposte per Bologna .
itwac	A proposito dei collezionisti deve sollevarsi il problema della distinzione tra armi da caccia ed armi di diverso genere perché già da molte persone ( troppe ) , anche qualificate , mi sono sentito dire che non possono essere considerate da caccia quelle armi che la nostra legge quadro sulla caccia vieta : ciò è chiaramente assurdo perché la distinzione è oggettiva , collegata alla struttura ed alla destinazione tradizionale dell' arma e non alla sua destinazione contingente Come un fucile da bench rest non diventa da caccia anche se lo porto in montagna per spararvi ai camosci , così un express non diventa un fucile da tiro solo perché in Italia non si può cacciare l' [SEP] elefante [SEP] .
itwac	Molto interessante è stato lo schema rappresentante l' evoluzione degli elefanti in cui ci fa notare che ai giorni nostri , sono rimaste solamente due specie di [SEP] elefanti [SEP] : l' elefante asiatico e africano
itwac	[ 37 ] Sopra ogni [SEP] elefante [SEP] vi erano solide torrette di legno , protette dagli attacchi , legate con cinghie , e su ogni torretta stavano quattro soldati , che di là bersagliavano , e un conducente indiano .
itwac	Il Castello , fatto erigere da Don Pedro di Toledo su progetto del l' architetto Pirro Luigi Escribà o Scribà , divenuto famoso per aver costruito il Castel Sant' Elmo a Napoli , oggi sede della Sovrintendenza ai Monumenti , di attività culturali e del Museo Nazionale d' Abruzzo , comprende varie sezioni tra le quali : la sezione paleontologica che ospita un [SEP] elefante [SEP] fossile rinvenuto nei pressi della città e la sezione di arte sacra in cui si possono ammirare opere di artisti noti e sconosciuti .
itwac	Da stasera al Ponte Mosca trapezisti , ballerini , cavalli ed [SEP] elefanti [SEP] Il Carnevale di Rio sulla pista del grande Circo Lidia Togni Non i tristi pagliacci felliniani sotto un tendone sgualcito , ma uno spettacolo ispirato ai Music Hall americani : una grande orchestra , due corpi di ballo e tanto Brasile con Engi Ribeiro , celebrità di Globo Tv , nota televisione di Rio de Janeiro .
itwac	Cosa succede se un [SEP] elefante [SEP] si siede sulla tua macchina ?
itwac	Inizia a Mihimukh , India , il Festival degli [SEP] Elefanti [SEP] .
itwac	e poi la posta via [SEP] elefante [SEP] , pallone , sottomarino , cammello , rickshaw , surf , deltapano , mezzo blindato , con la slitta , con gli sci , a nuoto , ...
itwac	Se i PVS potessero aumentare le loro esportazioni solo del 5 % guadagnerebbero 350 miliardi di euro Tralasciando coloro che assumono i qualunquismi di Grillo per suzione , solo io vedo tra le due affermazioni una contarddizioncina grande quanto un [SEP] elefante [SEP] ?
itwac	Nell' ufficio di Joe si vedono due zanne di elefante poste dietro la sua scrivania.Se ci si fa caso , si puo' vedere anche una zampa di [SEP] elefante [SEP] posta su din un piedistallo alla destra dello spettatore ( durante l' ingresso di Vic Vega / Mr .
itwac	« L' Adige » ( Bolzano ) , 22 Maggio 2000 ----------------------------------------------------- Un sorriso dalla Romagna « Il virus dell' [SEP] elefante [SEP] » di Corrado Giamboni e' una raccolta di quattro racconti , che rivelano un giovane scrittore di talento , da tenere d' occhio .
itwac	Dopo aver fatto pace con i suoi nemici , Babar viene nominato re degli elefanti per realizzare il suo grande sogno , una pacifica Città degli [SEP] Elefanti [SEP] dove contano soltanto i concetti di famiglia e amicizia .
itwac	Fu combattuta contro gli Indiani da Tamerlano e dai suoi Tartari , che come già era avvenuto in una nota battaglia della storia romana , spaventarono gli [SEP] elefanti [SEP] nemici ponendo sostanze infiammabili sulle corna dei bufali , e rotoli di paglia accesa sopra i cammelli : onde accadde che gli elefanti stessi ruppero l' ala sinistra degli Indiani : e Tamerlano con la cavalleria ne sgominò il centro .
itwac	La festa di Ganesh Chaturthi , in agosto / settembre , è dedicata al popolare dio Ganesh dalla testa di [SEP] elefante [SEP] .
itwac	" La natura si mise subito a contare e contò e contò in fretta tanti e tanti numeri e in fretta sentenziò : " Tu sarai elefante e l' [SEP] elefante [SEP] sarà topolino : che dovrò pur tenere i conti sempre in ordine in questo strano mondo " .
itwac	Mail & Guardian Sudafrica 2 maggio 2002 Sudafrica [SEP] Elefanti [SEP] a spasso Il progetto sudafricano per la creazione della più grande riserva naturale transfrontaliera del mondo rischia di fallire .
itwac	Sii potente come l' [SEP] elefante [SEP] maestoso ...
itwac	16000 , " Gli [SEP] elefanti [SEP] " , Garzanti Libri ( ISBN : 88 - 11 - 66946 - 4 ) Gadda Carlo E. , Le meraviglie d' Italia-Gli anni , 1993 , 272 p. , Lit .
itwac	occasione imperdibile per poter finalmente rivedere capolavori quali TABU , L' UOMO DI ARAN , LOUISIANA STORY , NANOOK , LA DANZA DEGLI [SEP] ELEFANTI [SEP] , MOANA , i cortometraggi THE LAND , THE POTTERY MAKER , INDUSTRIAL BRITAIN e GUERNICA e alcuni film sulla figura di Flaherty e sul suo cinema : il kolossal KABLOONAK di Claude Massot , i tre documentari SULLE TRACCIE DI ...
itwac	L' esposizione , gestita dalla cooperativa " L' [SEP] Elefante [SEP] Nano " , è aperta dal martedì alla domenica , dalle 10.00 alle 12.00 e dalle 16.00 alle 18.00 .
itwac	Il Paese era stanco ed impreparato a una guerra che lo minacciava comunque , il Partito era diventato un [SEP] elefante [SEP] burocratico .
