corpus	sentence
itwac	Altre attività Ha partecipato e sta partecipando alle seguenti ricerche del Dipartimento di Sociologia dell' Università Cattolica : L' incidente di Trecate attraverso la stampa quotidiana , ( marzo 1995 ) , Ambiente e opinione pubblica ( marzo 1994 ) , La classe dirigente lombarda di fronte alla globalizzazione ( 1998/99 ) , L' educazione ambientale nei centri parco in Lombardia ( 1996 ) , Atteggiamenti delle popolazioni coinvolte dalla reintroduzione dell' [SEP] orso [SEP] nel parco dell' Adamello-Brenta ( 1999 ) ; Problemi sociali inerenti all' attuazione della normativa agroambientale in Lombardia ( 2000 ) .
itwac	18/01/2005 E' USCITO IL NUOVO NUMERO DE " LA GRAMIGNA " , IL BOLLETTINO DELLA SEZIONE PROVINCIALE DI TERAMO DEL WWF 11/12/2004 IL WWF RICERCA COLLABORATORE CON MANSIONI DI SUPPORTO TECNICO  ORGANIZZATIVO PRESSO LA SEZIONE REGIONALE ABRUZZO 13/11/2004 CAMPO INVERNALE WWF PER L' ORSO BRUNO 3 - 8 dicembre 2004 - Villavallelonga ( AQ ) 23/10/2004 LE 15 PROPOSTE DEL WWF PER UN BILANCIO REGIONALE SOSTENIBILE 30/09/2004 Dalla parte dell' [SEP] Orso [SEP] : il programma " 17/09/2004 " Vogliamo esprimere il nostro più profondo dissenso e sconcerto rispetto ad un progetto che non si può non definire come devastante per una delle più importanti montagne dell' intero Appennino ...
itwac	Mano a mano che procede il viaggio a lui si aggiungono altri personaggi : miss Piggy , porcellina che ha vinto un concorso di bellezza , l' [SEP] orso [SEP] Fozzie , il grande Gonzo .
itwac	La tristezza non è nella pianura padana e l' allegria non è nei sassi del Foro : allegria e tristezza sono cose che abbiamo dentro di noi , infatti io nella pianura padana , avvolto nella nebbia lattiginosa , mi sento felice come l' [SEP] orso [SEP] che ha cuccato una foca .
itwac	Cemento , piloni e sbancamenti sono incompatibili con la vita di lupi , [SEP] orsi [SEP] , aquile reali e di centinaia di specie di piante rarissime che solo nel Parco trovano rifugio .
itwac	Anche se ora ne approfittiamo per puntualizzare che da Aldo non è come molti credono una trattoria per [SEP] orsi [SEP] ; da lui si fanno analisi di calcio con il giradischi rotto della moviola in campo e con la tranquilla motosega di Franco Melli .
itwac	Dietro i compagni di Davide in testa - i militanti del centro sociale [SEP] Orso [SEP] - ha sfilato il movimento antagonista , il sindacalismo di base al gran completo , i disobbedienti , e anche tanta gente affacciata alle finestre , passanti e persone che pur non frequentando i centri sociali ieri hanno colto tutta l' importanza di essere con loro .
itwac	CAIMANO - C' è anche [SEP] Orso [SEP] CROTALO - Mi porto dietro un deficiente ?
itwac	Nel senso che proprio come ha fatto l' inventore di Topolino e Paperino , ma soprattutto dell' elefantino Dumbo , dell' orso Baloo o del capriolo Bambi - oltre al Re Leone e ad un' infinità di altri cartoon ricalcati su altrettanti animali - il regista francese , oggi autore del toccante « Due fratelli » , è il solo cineasta che tenta con i suoi film ( « L' [SEP] orso [SEP] » è del 1988 ) di rappresentare gli animali con i loro sentimenti .
itwac	Non a caso vanta ben 500 primavere il Tiglio di Sant' [SEP] Orso [SEP] , nel centro storico di Aosta , presso il complesso medievale dei SS .
